fd_id,firmzone,ground_elv,sqft,st_damcat,val_struct,cbfips,x,y
480921385,AE,11.434043852176666,648.0,RES,68851.0927,481677248002011,-94.7963025,29.2899125
481089604,AE,6.648040249567032,2059.0,RES,171435.564,481677253001036,-94.82779043,29.283631303
481086901,AE,7.074465346002579,672.0,RES,70450.1747,481677243003017,-94.7850655,29.308367
481115381,AE,5.2937256824970245,951.16,RES,42559.6772,481677218004014,-94.93114337,29.484748731
481017979,AE,12.554166130495071,1056.0,RES,93771.2996,481677209001025,-95.05140788,29.462521482
481124536,AE,8.929855527305604,1530.0,RES,116995.887,481677243005015,-94.7766795,29.307309
480910881,VE,5.767320191092491,1872.0,RES,241408.772,481677239002025,-94.66279807,29.43708751
480954159,AE,3.848927428917885,2913.0,RES,286205.504,481677236003093,-94.9693415,29.291144
481140565,AE,12.138078763856887,2049.0,RES,167661.844,481677213003023,-95.08409893,29.52133867
480923955,AE,4.996719326257706,3960.0,RES,357246.236,481677257002005,-94.84631767,29.263405744
481138770,AE,11.193394393367766,2688.0,RES,179651.907,481677218001039,-94.91817318,29.485086483
480921330,AE,9.130578477182388,1629.0,RES,148182.761,481677253002049,-94.82027392,29.287098771
480909763,VE,5.999903858375549,1501.18,RES,204508.677,481677239002025,-94.63505984,29.455360974
481106687,AE,25.274119222221373,2296.14,RES,311566.431,481677234001003,-95.101514,29.382945
481031292,AE,5.182603691520691,1164.0,RES,166486.899,481677261002140,-95.06896677,29.12606589
480998510,VE,4.000103429579735,1322.0,RES,177782.98,481677261002024,-95.05446382,29.144079373
481152731,AE,23.041554434890745,2136.0,RES,238131.255,481677202002016,-95.20050424,29.537610093
480964511,VE,6.644581302747726,2318.0,RES,249870.63,481677261002046,-95.0159825,29.156009
480932871,AE,4.996719326257706,856.0,RES,141852.959,481677260002032,-94.90551555,29.239361192
480953792,AE,6.824420724315643,1500.0,RES,55783.494,481677218003023,-94.9457714,29.482090163
480935221,AE,14.695955856895447,1536.0,RES,135760.645,481677218001023,-94.91404572,29.489892197
480920396,AE,9.197468657712937,3114.06,RES,502994.774,481677247002000,-94.793564,29.29544
481001176,AE,2.740075278544426,1609.0,RES,204786.685,481677261002066,-95.05505089,29.139490212
480953100,AE,9.657914553337097,1355.0,RES,184233.19,481677261001063,-94.93752918,29.205566958
480920555,AE,10.659064548892974,1187.0,RES,116925.905,481677248001044,-94.7958362,29.2911729
481168034,AE,10.640299253959656,323.0,RES,39280.5468,481677236002062,-94.99804682,29.340203232
480948632,VE,4.996719326257706,4417.0,RES,384149.67,481677261001014,-94.94758967,29.218534117
480951705,AE,10.816971494235993,1196.0,RES,100649.651,481677228002032,-94.96055664,29.36036798
481134721,VE,9.699891243095397,1500.0,RES,204418.044,481677239002036,-94.60815016,29.465130895
481112439,AE,8.82781346728325,936.0,RES,87503.0397,481677254003007,-94.8245795,29.2842545
480943880,VE,4.846208989038467,1724.0,RES,207472.868,481677238003041,-94.93151502,29.325899499
481013373,AE,9.336744848794938,1517.0,RES,134718.625,481677213004001,-95.07590764,29.538334313
481160395,VE,5.404565294504166,624.0,RES,78921.0639,481677237001059,-94.96289281,29.333761783
481119504,AE,14.537958174819947,1766.0,RES,129523.473,481677211002028,-95.038187,29.4729355
480977432,AE,12.558452658891678,3408.18,RES,291463.6,481677211003002,-95.02306081,29.46837954
481123296,AE,9.838442322530746,1293.0,RES,122759.757,481677244001004,-94.78315919,29.298302379
481005511,AE,4.278434054298401,1246.0,RES,172448.108,481677215004027,-95.03255075,29.550142458
480916063,AE,8.909104193029403,1892.8,RES,271249.23,481677244003022,-94.78575485,29.298998846
480947142,AE,4.400816786661148,1080.0,RES,160155.843,481677238003024,-94.94210938,29.329846822
480958054,VE,4.351757938489914,3868.0,RES,351569.377,481677261001082,-94.94996401,29.207091849
480936794,AE,10.321743705968856,881.983,RES,38026.0759,481677218004036,-94.9210265,29.4787705
480956212,AE,14.417697586898804,1599.0,RES,196872.928,481677217006003,-94.9817685,29.4982475
481089753,AE,4.896957026638985,2080.0,RES,172620.664,481677258003004,-94.8397743,29.285547112
480982746,AE,12.808867267427445,1335.0,RES,207529.476,481677212021022,-95.03434973,29.505905022
481087192,AE,9.082012423334122,3656.0,RES,251003.689,481677244001010,-94.789209,29.296198
481164080,AE,1.853760048971176,2372.0,RES,256591.955,481677261001167,-94.97995897,29.188695864
481147791,AE,8.932003484783172,3210.0,RES,517290.292,481677247001041,-94.79791163,29.295899904
480947155,AE,4.863248721628189,1440.0,RES,191253.035,481677238003024,-94.94187331,29.33052303
481085581,AE,4.983595744109154,3104.92,RES,219578.63,481677239004107,-94.60410199,29.481222355
481124627,AE,9.294803358631134,1252.0,RES,108610.509,481677244003008,-94.784721,29.299797
481123033,VE,4.927821595520973,686.0,RES,125219.233,481677239003017,-94.7689475,29.3832755
480935276,AE,14.35017537809372,4666.5,RES,192184.086,481677218001024,-94.91475326,29.491228316
481170175,AE,8.178432574872971,4570.0,RES,260830.624,481677243004037,-94.78748368,29.302996812
480955726,VE,4.996719326257706,975.0,RES,151627.554,481677261001128,-94.97481319,29.18041589
481119498,AE,12.61412511976242,1208.0,RES,101249.956,481677211002028,-95.03819165,29.473389695
480914396,AE,1.6626741614079474,1116.0,RES,112852.027,481677239004139,-94.70276,29.4297685
480961293,AE,3.723164753270149,1600.0,RES,196937.088,481677261001163,-94.983929,29.1938435
481097703,AE,10.964915389909745,699.0,RES,72167.9496,481677237002005,-95.013306,29.352679
481159890,AE,7.120309297876358,1104.0,RES,107244.626,481677252002002,-94.82425338,29.290453866
481123618,AE,9.575799374866486,2368.0,RES,166642.267,481677247002054,-94.80314668,29.291556304
481089641,AE,6.664406496582031,1275.0,RES,104661.983,481677252002008,-94.8303165,29.2892715
481114924,AE,5.570566973261833,1326.0,RES,113221.947,481677218004031,-94.92528,29.475831
480912457,AE,5.038582986207008,710.0,RES,127475.49,481677239004114,-94.6386225,29.463915
481129876,AE,4.606179825305938,1904.0,RES,226384.253,481677260002046,-94.91777,29.2230585
480937898,AE,9.148190007629394,1210.23,RES,47982.4617,481677218002037,-94.92372593,29.486458808
480969650,VE,4.996719326257706,1063.0,RES,158766.991,481677261001173,-94.97153579,29.183062575
481092433,AE,12.019521054096222,2250.0,RES,177442.38,481677218001030,-94.91777444,29.493719706
480975288,AE,9.572094030885696,2715.0,RES,200231.426,481677210001047,-95.02297805,29.461217245
